Stock,Commodity,Cluster,Correlation,P_Value,Significant,Abs_Corr
RTX,ZW=F,0,0.07487207348793089,0.006458525933787091,True,0.07487207348793089
SBUX,CC=F,0,0.07485617409018833,0.006469875155868579,True,0.07485617409018833
GOOGL,LE=F,0,0.0748300272118648,0.006488578151396113,True,0.0748300272118648
ORCL,ZL=F,0,0.07482975360396797,0.006488774121089488,True,0.07482975360396797
CVX,CJ=F,0,0.07482575109844983,0.0064916414949401586,True,0.07482575109844983
GLNCY,ZO=F,0,0.07480759316821381,0.006504664043641734,True,0.07480759316821381
PFE,HY=F,0,0.07476448339193607,0.006535675678329582,True,0.07476448339193607
SO,BZ=F,0,0.07476121082982584,0.006538035258232108,True,0.07476121082982584
DLTR,HG=F,0,0.07475803300415662,0.006540327263713332,True,0.07475803300415662
WPM,YO=F,0,0.07475301757450886,0.006543946108973447,True,0.07475301757450886
CMG,CC=F,0,0.07466156707900964,0.006610247711254063,True,0.07466156707900964
AXP,ZS=F,0,0.0746470545155356,0.006620824610421219,True,0.0746470545155356
DAR,ZO=F,0,0.07464215947749181,0.006624395588922019,True,0.07464215947749181
PBR,ZM=F,0,0.0745527110979145,0.0066899543881138775,True,0.0745527110979145
GOOGL,YO=F,0,0.074551289688919,0.006691000857813497,True,0.074551289688919
ECL,ALI=F,0,0.0745208573786507,0.006713441022670331,True,0.0745208573786507
FAST,LE=F,0,0.07447601142169795,0.006746632684191283,True,0.07447601142169795
PH,OJ=F,0,0.07439700665716945,0.006805464726071015,True,0.07439700665716945
META,HE=F,0,0.07439680071038562,0.006805618687216906,True,0.07439680071038562
BKR,ZO=F,0,0.07436960376346272,0.00682597799708055,True,0.07436960376346272
RTX,SB=F,0,0.07434871936314774,0.00684164889808249,True,0.07434871936314774
EMR,CJ=F,0,0.07429205869071309,0.006884327788797997,True,0.07429205869071309
NOW,ZL=F,0,0.07428252453164565,0.006891532703086976,True,0.07428252453164565
HAL,KC=F,0,0.07420263735648544,0.006952169408606407,True,0.07420263735648544
NTR,HE=F,0,0.0741356114527705,0.00700341285127827,True,0.0741356114527705
RTX,YO=F,0,0.07408504907918105,0.007042293334490802,True,0.07408504907918105
QCOM,SB=F,0,0.07406077610822143,0.007061026988108828,True,0.07406077610822143
WPM,SB=F,0,0.07396155067933967,0.007138073925780573,True,0.07396155067933967
INTC,YO=F,0,0.07395698870750367,0.0071416342805438165,True,0.07395698870750367
COP,ZO=F,0,0.07395275693646997,0.007144938356269342,True,0.07395275693646997
SRE,KC=F,0,0.0739310436068541,0.007161913225837182,True,0.0739310436068541
