Stock,Commodity,Cluster,Correlation,P_Value,Significant,Abs_Corr
EOG,PL=F,0,0.25177971276919947,1.3643848194002958e-20,True,0.25177971276919947
AXP,PL=F,0,0.25168752041418285,1.4103222740905694e-20,True,0.25168752041418285
AME,PL=F,0,0.2509965802807532,1.806818990620549e-20,True,0.2509965802807532
BHP,ZL=F,0,0.24950278350876248,3.07901667386739e-20,True,0.24950278350876248
F,QU=F,0,0.24939899116599737,3.194772919725138e-20,True,0.24939899116599737
SBUX,QU=F,0,0.24937054588469454,3.227240388975919e-20,True,0.24937054588469454
GM,QU=F,0,0.24820653696247225,4.875869896701243e-20,True,0.24820653696247225
WM,QU=F,0,0.2481321544380925,5.005795286480555e-20,True,0.2481321544380925
MCD,PL=F,0,0.247118729802545,7.1564971313513e-20,True,0.247118729802545
DVN,ZL=F,0,0.24699259433497028,7.481205871715165e-20,True,0.24699259433497028
C,HO=F,0,0.2469336933157515,7.637774544909087e-20,True,0.2469336933157515
DUK,RB=F,0,0.24654583456989065,8.752668189894366e-20,True,0.24654583456989065
ULTA,QU=F,0,0.2465232168098471,8.82242482506558e-20,True,0.2465232168098471
F,PL=F,0,0.24612152517306918,1.0156811019071471e-19,True,0.24612152517306918
RIO,ZL=F,0,0.24580044631824874,1.1365062126913953e-19,True,0.24580044631824874
AXP,BZ=F,0,0.24554539762518873,1.2425027069010735e-19,True,0.24554539762518873
MDT,PL=F,0,0.24536294422826466,1.3242593823337107e-19,True,0.24536294422826466
GD,BZ=F,0,0.2451191280545527,1.441853759012023e-19,True,0.2451191280545527
SO,QU=F,0,0.24487991937953482,1.5672263762412957e-19,True,0.24487991937953482
MA,PL=F,0,0.24420358746450982,1.9829020191904105e-19,True,0.24420358746450982
PBR,PL=F,0,0.24407664454621802,2.0722542584302804e-19,True,0.24407664454621802
SCHW,RB=F,0,0.24404559001223258,2.094710928261177e-19,True,0.24404559001223258
HON,HG=F,0,0.2439571140751169,2.1600164935853384e-19,True,0.2439571140751169
BG,PL=F,0,0.24376498155422943,2.30883189180506e-19,True,0.24376498155422943
ROK,HG=F,0,0.2435137354788744,2.518791225072763e-19,True,0.2435137354788744
GS,PL=F,0,0.2431932662958634,2.814130818120918e-19,True,0.2431932662958634
ETN,HG=F,0,0.24292067501380799,3.0920572095676116e-19,True,0.24292067501380799
DUK,QU=F,0,0.2428208010408086,3.2005255641033883e-19,True,0.2428208010408086
ITW,HG=F,0,0.2425748473886671,3.4839140003845494e-19,True,0.2425748473886671
MA,BZ=F,0,0.2423991765158291,3.7013434005594676e-19,True,0.2423991765158291
SO,RB=F,0,0.24219908222170802,3.965346589154061e-19,True,0.24219908222170802
SHEL,SI=F,0,0.24219547707671052,3.9702697126253533e-19,True,0.24219547707671052
YUM,PL=F,0,0.2419435815507427,4.329610054610774e-19,True,0.2419435815507427
HD,PL=F,0,0.24187902991083077,4.426747316729761e-19,True,0.24187902991083077
DVN,PL=F,0,0.24157658267513424,4.911282279265461e-19,True,0.24157658267513424
BP,ZL=F,0,0.2415222969814032,5.003628602339751e-19,True,0.2415222969814032
BP,SI=F,0,0.2414166182571678,5.188341828016197e-19,True,0.2414166182571678
YUM,QU=F,0,0.2410861433539163,5.810483771048872e-19,True,0.2410861433539163
SRE,PL=F,0,0.2410431182372968,5.896715301640503e-19,True,0.2410431182372968
F,RB=F,0,0.2410365831440663,5.909923016877926e-19,True,0.2410365831440663
CSCO,RB=F,0,0.24033646846279227,7.507754204113196e-19,True,0.24033646846279227
NUE,BZ=F,0,0.2402282469176811,7.790141082972309e-19,True,0.2402282469176811
MSFT,QU=F,0,0.24016975534563234,7.947101644071677e-19,True,0.24016975534563234
D,RB=F,0,0.2397461969095632,9.180678678532453e-19,True,0.2397461969095632
BAC,PL=F,0,0.2395133650456605,9.93735648120306e-19,True,0.2395133650456605
HSY,RB=F,0,0.23935794217738562,1.0476373523164456e-18,True,0.23935794217738562
PSX,PL=F,0,0.23909329729183548,1.1461315209381548e-18,True,0.23909329729183548
ULTA,RB=F,0,0.23906533207631353,1.157058537125238e-18,True,0.23906533207631353
ROK,BZ=F,0,0.23896680815273283,1.1963804979818786e-18,True,0.23896680815273283
D,QU=F,0,0.2389507207517828,1.2029251590843168e-18,True,0.2389507207517828
XOM,ZL=F,0,0.23818279866968628,1.560025059254798e-18,True,0.23818279866968628
DAR,ZL=F,0,0.2380092563698586,1.6542039536918005e-18,True,0.2380092563698586
HUM,QU=F,0,0.23792595634831926,1.7013802478415826e-18,True,0.23792595634831926
GLNCY,ZL=F,0,0.23747104521003393,1.983406810094962e-18,True,0.23747104521003393
ZTS,QU=F,0,0.23717860012232703,2.1885649489112356e-18,True,0.23717860012232703
KMI,SI=F,0,0.23712144569564148,2.2310389592969375e-18,True,0.23712144569564148
BG,HO=F,0,0.2361923003751643,3.0472307245060153e-18,True,0.2361923003751643
GM,RB=F,0,0.23610028785498816,3.14254927441512e-18,True,0.23610028785498816
NUE,PL=F,0,0.23605713504652037,3.188259622302213e-18,True,0.23605713504652037
SHEL,ZL=F,0,0.2358957672498031,3.3650758410828764e-18,True,0.2358957672498031
SYK,PL=F,0,0.23553170195927423,3.8002895495871134e-18,True,0.23553170195927423
V,PL=F,0,0.2354489894264383,3.906653909902363e-18,True,0.2354489894264383
DOV,BZ=F,0,0.23541826879084965,3.946902322724677e-18,True,0.23541826879084965
